root_id,flow,super_class,class,sub_class,hemilineage,side,nerve
720575940602534112,efferent,descending,,,LB7,right,CV
720575940602864300,efferent,descending,,,PSp2,left,CV
720575940603489824,efferent,descending,,,PSp2,left,CV
720575940603580960,efferent,descending,,,PSp2,left,CV
720575940603591014,efferent,descending,,,WEDd1,left,CV
720575940603786686,efferent,descending,,,LB6,left,CV
720575940603874784,efferent,descending,,,putative_primary,left,CV
720575940603980256,efferent,descending,,,SMPpv1,right,CV
720575940604103084,efferent,descending,,,putative_primary,left,CV
720575940604284128,efferent,descending,,,PSp2,right,CV
720575940604470956,efferent,descending,,,putative_primary,right,CV
720575940604727264,efferent,descending,,,MX12,right,CV
720575940604729312,efferent,descending,,,LB7,left,CV
720575940604737708,efferent,descending,,,WEDd1,right,CV
720575940604783136,efferent,descending,,,putative_primary,left,CV
720575940604930481,efferent,descending,,,MX12,left,CV
720575940604954289,efferent,descending,,,SMPpv2_ventral,left,CV
720575940605009097,efferent,descending,,,putative_primary,right,CV
720575940605041330,efferent,descending,,,PSp2,right,CV
720575940605162924,efferent,descending,,,putative_primary,right,CV
720575940605282406,efferent,descending,,,MX12,right,CV
720575940605300140,efferent,descending,,,MX0__prim,right,CV
720575940605450342,efferent,descending,,,LB6,left,CV
720575940605513649,efferent,descending,,,MX3,right,CV
720575940605656521,efferent,descending,,,LB12,left,CV
720575940605658033,efferent,descending,,,LB7__prim,right,CV
720575940605702944,efferent,descending,,,putative_primary,right,CV
720575940605714878,efferent,descending,,,MX3,left,CV
720575940605725873,efferent,descending,,,primary,right,CV
720575940605950496,efferent,descending,,,putative_primary,left,CV
720575940606112940,efferent,descending,,,MX12__prim,right,CV
720575940606179686,efferent,descending,,,SMPpv2_ventral,left,CV
720575940606222014,efferent,descending,,,LB6,right,CV
720575940606342089,efferent,descending,,,putative_primary,right,CV
720575940606425033,efferent,descending,,,MX3,right,CV
720575940606607234,efferent,descending,,,MD3,right,CV
720575940606633248,efferent,descending,,,putative_primary,left,CV
720575940606702601,efferent,descending,,,LB7,left,CV
720575940606704562,efferent,descending,,,DM2_central,right,CV
720575940606753884,efferent,descending,,,,right,CV
720575940606756309,efferent,descending,,,PSp2,left,CV
720575940606784265,efferent,descending,,,LB7,right,CV
720575940606856405,efferent,descending,,,LB7,left,CV
720575940606866377,efferent,descending,,,putative_primary,right,CV
720575940607037635,efferent,descending,,,PSp2,left,CV
720575940607170178,efferent,descending,,,MD3,right,CV
720575940607178709,efferent,descending,,,LB12,left,CV
720575940607378633,efferent,descending,,,SMPpv2_ventral,left,CV
720575940607384242,efferent,descending,,,LB0_anterior,center,CV
720575940607451081,efferent,descending,,,MD3,left,CV
720575940607632579,efferent,descending,,,SMPpv1,left,CV
720575940607761244,efferent,descending,,,MX7__prim,right,CV
720575940607854793,efferent,descending,,,PSp2,left,CV
720575940607971337,efferent,descending,,,PSp2,left,CV
720575940608076739,efferent,descending,,,MX3,left,CV
720575940608145026,efferent,descending,,,putative_primary,left,CV
720575940608188427,efferent,descending,,,LB7__prim,left,CV
720575940608332674,efferent,descending,,,PSp2,left,CV
720575940608402524,efferent,descending,,,putative_primary,right,CV
720575940608409355,efferent,descending,,,SMPpv1,left,CV
720575940608716809,efferent,descending,,,LB7__prim,right,CV
720575940608735241,efferent,descending,,,putative_primary,right,CV
720575940608838958,efferent,descending,,,LB12,left,CV
720575940608877266,efferent,descending,,,PSp2,right,CV
720575940608960722,efferent,descending,,,MX12,left,CV
720575940609097429,efferent,descending,,,WEDd1,left,CV
720575940609260494,efferent,descending,,,putative_primary,right,CV
720575940609316050,efferent,descending,,,PSp2,right,CV
720575940609366648,efferent,descending,,,LB6,left,CV
720575940609376707,efferent,descending,,,putative_primary,right,CV
720575940609407939,efferent,descending,,,putative_primary,right,CV
720575940609417995,efferent,descending,,,MX12,left,CV
720575940609488942,efferent,descending,,,WEDd1,right,CV
720575940609589443,efferent,descending,,,LB12,left,CV
720575940609719250,efferent,descending,,,SMPpv1,right,CV
720575940609733582,efferent,descending,,,LB6,right,CV
720575940609844117,efferent,descending,,,LB6,right,CV
720575940609948514,efferent,descending,,,MX3,right,CV
720575940610001220,efferent,descending,,,MX12__prim,left,CV
720575940610010521,efferent,descending,,,PSp2,right,CV
720575940610091955,efferent,descending,,,LB7,left,CV
720575940610173048,efferent,descending,,,putative_primary,right,CV
720575940610199781,efferent,descending,,,PSp2,right,CV
720575940610231509,efferent,descending,,,MX3,left,CV
720575940610236514,efferent,descending,,,primary,right,CV
720575940610309034,efferent,descending,,,LB6,left,CV
720575940610341582,efferent,descending,,,LB7,left,CV
720575940610348458,efferent,descending,,,LB12,left,CV
720575940610440402,efferent,descending,,,LB6,right,CV
720575940610472146,efferent,descending,,,SMPpv2_dorsal,left,CV
720575940610505006,efferent,descending,,,putative_primary,right,CV
720575940610604078,efferent,descending,,,MX3,right,CV
720575940610605614,efferent,descending,,,putative_primary,left,CV
720575940610610841,efferent,descending,,,MX0__prim,right,CV
720575940610677828,efferent,descending,,,putative_primary,left,CV
720575940610715346,efferent,descending,,,SMPpv1,right,CV
720575940610863310,efferent,descending,,,LB12,right,CV
720575940610872014,efferent,descending,,,putative_primary,right,CV
720575940610935410,efferent,descending,,,LB7,right,CV
720575940611016910,efferent,descending,,,putative_primary,right,CV
720575940611087786,efferent,descending,,,LB7,left,CV
720575940611102437,efferent,descending,,,PSp2,right,CV
720575940611108676,efferent,descending,,,LB0_anterior,center,CV
720575940611225237,efferent,descending,,,putative_primary,left,CV
720575940611237594,efferent,descending,,,putative_primary,left,CV
720575940611308181,efferent,descending,,,LB7,left,CV
720575940611462885,efferent,descending,,,LB12,left,CV
720575940611474925,efferent,descending,,,,right,CV
720575940611498419,efferent,descending,,,LB7,left,CV
720575940611531986,efferent,descending,,,putative_primary,left,CV
720575940611552370,efferent,descending,,,LB7,right,CV
720575940611610670,efferent,descending,,,LB7,left,CV
720575940611622826,efferent,descending,,,putative_primary,left,CV
720575940611644529,efferent,descending,,,SMPpv2_ventral,right,CV
720575940611654570,efferent,descending,,,LB12,right,CV
720575940611700520,efferent,descending,,,MX12,left,CV
720575940611735002,efferent,descending,,,MD3,right,CV
720575940611735514,efferent,descending,,,WEDd1,left,CV
720575940611756723,efferent,descending,,,MX3,right,CV
720575940611765201,efferent,descending,,,LB6,right,CV
720575940611772083,efferent,descending,,,MX7__prim,left,CV
720575940611782874,efferent,descending,,,DM2_central,right,CV
720575940611807795,efferent,descending,,,MX12,right,CV
720575940611813842,efferent,descending,,,putative_primary,left,CV
720575940611881139,efferent,descending,,,putative_primary,left,CV
720575940611886289,efferent,descending,,,PSp2,left,CV
720575940611939290,efferent,descending,,,MX12,right,CV
720575940611956197,efferent,descending,,,putative_primary,left,CV
720575940611976618,efferent,descending,,,LB7,left,CV
