root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940608763460,['JO-F'],GNG.2175,ACH,afferent,sensory,mechanosensory,head_bristle,['BM_Ant'],,AN,['reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,38,292
720575940611132890,['JO-F'],GNG.1207,ACH,afferent,sensory,mechanosensory,head_bristle,['BM_Ant'],,AN,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,193,1126
720575940620556680,['JO-F'],GNG.2910,ACH,afferent,sensory,mechanosensory,head_bristle,['BM_Ant'],,AN,['feedforward_loop_participant'; '3_cycle_participant'],right,16,123
720575940644439860,['JO-F'],GNG.1545,ACH,afferent,sensory,mechanosensory,head_bristle,['BM_Ant'],,AN,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,103,626
720575940603728561,['JO-F'],GNG.1705,ACH,afferent,sensory,mechanosensory,head_bristle,['BM_Ant'],,AN,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,60,482
720575940627172751,['JO-F'],GNG.1846,ACH,afferent,sensory,mechanosensory,head_bristle,['BM_Ant'],,AN,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,47,418
720575940629917471,['JO-F'],GNG.1736,ACH,afferent,sensory,mechanosensory,head_bristle,['BM_Ant'],,AN,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,127,469
720575940613078993,['JO-F'],GNG.2928,ACH,afferent,sensory,mechanosensory,head_bristle,['BM_Ant'],,AN,['feedforward_loop_participant'],right,0,86
720575940627488455,['JO-F'],GNG.1374,ACH,afferent,sensory,mechanosensory,head_bristle,['BM_Ant'],,AN,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,165,1488
720575940640240885,['JO-F'],GNG.3122,ACH,afferent,sensory,mechanosensory,head_bristle,['BM_Ant'],,AN,['feedforward_loop_participant'],right,0,94
720575940612453526,['JO-F'],GNG.3104,ACH,afferent,sensory,mechanosensory,head_bristle,['BM_Ant'],,AN,['reciprocal'; 'feedforward_loop_participant'],right,18,109
720575940629941356,['JO-F'],GNG.1487,ACH,afferent,sensory,mechanosensory,head_bristle,['BM_Ant'],,AN,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,190,817
720575940640760016,['JO-F'],NO_CONS.2911,,afferent,sensory,mechanosensory,head_bristle,['BM_Ant'],,AN,['feedforward_loop_participant'],right,13,183
720575940613669357,['JO-F'],GNG.1835,ACH,afferent,sensory,mechanosensory,head_bristle,['BM_Ant'],,AN,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,119,567
720575940628194647,['JO-F'],GNG.1875,ACH,afferent,sensory,mechanosensory,head_bristle,['BM_Ant'],,AN,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,97,458
720575940629440067,['JO-F'],GNG.1715,ACH,afferent,sensory,mechanosensory,head_bristle,['BM_Ant'],,AN,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,103,455
