root_id,hemisphere,type,column_id,x,y,p,q
720575940604525792,left,L1,490,-0.5555555555555556,0.18644067796610164,8,-2
720575940604585662,left,L3,357,0.5,0.5593220338983051,4,13
720575940604624096,left,L3,343,-0.2777777777777778,0.8983050847457628,16,11
720575940604635616,left,L1,223,-0.22222222222222232,0.8644067796610169,15,11
720575940604661472,left,L2,313,0.8333333333333333,0.0847457627118644,-6,9
720575940604738016,left,L1,353,0.22222222222222232,0.7966101694915255,10,14
720575940604940716,left,L2,80,0.5,0.423728813559322,2,11
720575940604962528,left,L3,263,-0.33333333333333337,0.11864406779661008,5,-1
720575940604963552,left,L2,188,-0.5,0.5593220338983051,13,4
720575940604992480,left,L2,26,0.16666666666666674,-0.11864406779661019,-3,0
720575940605046188,left,L3,289,-0.05555555555555558,0.35593220338983045,6,5
720575940605064364,left,L2,159,0.8333333333333333,0.22033898305084754,-4,11
720575940605197740,left,L3,762,0.0,0.4576271186440677,7,7
720575940605287852,left,L1,327,0.6111111111111112,0.0847457627118644,-4,7
720575940605418668,left,L2,122,-0.5,0.2881355932203389,9,0
720575940605659872,left,L3,94,0.5555555555555554,0.5932203389830508,4,14
720575940605762016,left,L2,284,0.05555555555555558,0.8305084745762712,12,13
720575940605783008,left,L1,158,0.38888888888888906,-0.18644067796610164,-6,1
720575940605788849,left,L3,639,-0.38888888888888895,0.6271186440677967,13,6
720575940605842780,left,L3,624,0.16666666666666674,-0.5932203389830508,-10,-7
720575940605882470,left,L3,318,0.5,-0.6610169491525424,-14,-5
720575940605882796,left,L3,507,-0.5555555555555556,-0.423728813559322,-1,-11
720575940605887968,left,L2,710,0.5,-0.864406779661017,-17,-8
720575940605971116,left,L2,158,0.38888888888888906,-0.18644067796610164,-6,1
720575940605977516,left,L2,320,-0.16666666666666674,-0.18644067796610164,-1,-4
720575940605994924,left,L1,65,-0.11111111111111105,0.9322033898305084,15,13
720575940606004396,left,L3,538,-0.38888888888888895,0.016949152542372836,4,-3
720575940606027808,left,L1,227,-0.7222222222222222,0.15254237288135597,9,-4
720575940606072748,left,L3,78,0.22222222222222232,0.6610169491525424,8,12
720575940606073534,left,L3,747,0.0,0.05084745762711873,1,1
720575940606110641,left,L2,489,-0.33333333333333337,0.3220338983050848,8,2
720575940606117804,left,L3,102,0.38888888888888906,0.423728813559322,3,10
720575940606126782,left,L2,211,-0.7222222222222222,-0.05084745762711862,6,-7
720575940606128318,left,L3,216,0.2777777777777777,0.6271186440677967,7,12
720575940606139820,left,L2,254,0.3333333333333335,-0.8305084745762712,-15,-9
720575940606140337,left,L3,476,-0.05555555555555558,0.4915254237288136,8,7
