root_id,primary_type
0,T4a
1,PLP191b
2,Tm4
3,KCab
4,Y3
5,T5b
6,Tlp1
7,CB2813
8,KCg-m
9,Li01
10,hDeltaK
11,SMP151
12,T4a
13,Sm23
14,CB2228
15,Tm5a
16,T5c
17,T5a
18,TmY10
19,TmY3
20,LC6
21,Tm9
22,LPi11
23,DNge044
24,LC12
25,T5c
26,Dm18
27,SLP114
28,T5c
29,AN_GNG_134
30,Mi4
31,LC11
32,JO-B
33,T5c
34,CB2342
35,ISN
36,BM_InOm
37,CB1058
38,SMP151
39,T5d
40,T5c
41,KCg-m
42,MLt8
43,ORN_DA4l
44,T4a
45,Tm4
46,Tm4
47,T5a
48,TmY11
49,Tm31
50,Sm23
51,T5b
52,SMP018
53,JO-B
54,TmY10
55,T5d
56,T4b
57,OA-VUMx3
58,Pm09
59,T5a
60,T5c
61,Tm5a
62,Tm4
63,AN_GNG_134
64,AN_GNG_133
65,KCab
66,T4b
67,MTe01a
68,T3
69,Tm4
70,T5a
71,WED028
72,KCab
73,TmY31
74,DNge146
75,WEDPN6B
76,T5a
77,SLP411
78,DNg07
79,KCapbp-ap2
80,TmY3
81,KCg-m
82,CB1122
83,T4b
84,CB2961
85,CB1622
86,LC22
87,CL096
88,T5a
89,KCab
90,TmY10
91,PS018b
92,PPL204
93,JO-B
94,TmY15
95,TmY11
96,Tm8a
97,KCab
98,CB1470
99,ORN_DA4l
100,KCg-m
101,BM_InOm
102,T5d
103,CL083
104,SAD047
105,AN_GNG_133
106,Pm09
107,CB1230
108,T5c
109,ORN_VC5
110,CB2021
111,4I0
112,Y3
113,CB2292
114,LC16
115,T2
116,T5a
117,TmY11
118,Tm3
119,R1-6
120,C2
121,Tm9
122,Mi9
123,Tm3
124,AN_GNG_VES_12
125,Mi9
126,L1
127,L5
128,R1-6
129,Pm04
130,R8
131,R1-6
132,L4
133,L4
134,Dm3q
135,R1-6
136,FS4A
137,Lawf2
138,T4d
139,CB3424
140,Tm5d
141,L1
142,R1-6
143,Sm12
144,MeTu3b
145,R1-6
146,Sm19
147,Sm12
148,R1-6
149,T4d
150,R1-6
151,Mi9
152,Tm21
153,hDeltaI
154,C2
155,L2
156,CB1058
157,Mi2
158,R1-6
159,R1-6
160,CB.FB5B1
161,T1
162,Dm10
163,PVLP148
164,Sm12
165,T5c
166,AN_GNG_69
167,Sm01
168,AN_GNG_38
169,Pm09
170,TmY14
171,T5a
172,TmY11
173,AN_GNG_SAD_32
174,T2
175,ORN_DA4l
176,CL062_b
177,LPi11
178,Dm3q
179,LC6
180,Li01
181,AN_SAD_GNG_2
182,TmY3
183,T5c
184,PPM1202
185,TmY11
186,SLP114
187,Tm4
188,CB1444
189,Li01
190,TmY14
191,T5d
192,T5a
193,PVLP148
194,T5a
195,CB1057
196,4I0
197,KCg-m
198,JO-EVL
199,TmY14
200,KCg-m
201,DNg12_e
202,T2
203,PLP188
204,CB2342
205,T2
206,BM_InOm
207,T4d
208,T4d
209,CB0898
210,WED162
211,CL266a
212,CB0363
213,LAL051
214,T2a
215,BM_vOcci_vPoOr
216,CB.FB6E0
217,LAL124
218,AVLP569
219,T2a
220,AVLP008
221,AVLP439
222,AVLP444
223,ATL031
224,LC4
225,AVLP018
226,CRE040
227,LC31b
228,AVLP037
229,AVLP035
230,LC4
231,DN1pA
232,untyped
233,untyped
234,AVLP031
235,untyped
236,untyped
237,untyped
238,untyped
239,untyped
240,untyped
241,untyped
242,untyped
243,untyped
244,untyped
245,untyped
246,untyped
247,untyped
248,lLN2P_c
249,AOTU014
250,untyped
251,CRE108
252,untyped
253,AN_multi_65
254,LC4
255,LC4
256,cML01
257,AVLP390
258,DNbe005
259,AVLP195
260,LC31b
261,LAL196
262,LAL137
263,cL16
264,AVLP557
265,cL22b
266,LAL117a
267,AVLP533
268,WV-WV-2
269,BM_Ant
270,CB0099
271,DNg02_e
272,CB0722
273,CB0039
274,PS023a
275,CB0789
276,JO-FVA
277,AVLP216
278,T2
279,JO-mz
280,LC10e
281,CB3793
282,ORN_VM4
283,CB2130
284,Dm10
285,TmY3
286,TmY31
287,T3
288,DNge108
289,AN_multi_122
290,PLP188
291,LC6
292,TmY5a
293,TmY3
294,CB1482
295,CB2297
296,KCab
297,T3
298,AN_GNG_69
299,KCab
300,SMP146
301,PVLP148
302,PLP188
303,Dm10
304,KCg-m
305,ORN_DA4l
306,CB3264
307,DNg19
308,Y3
309,Li01
310,KCg-m
311,CB2813
312,TmY3
313,CB2316
314,CB1094
315,Tm4
316,SMP165
317,s-CPDN3C
318,LC29
319,AN_multi_122
320,AN_GNG_38
321,CB1380
322,Sm23
323,LAL043a
324,TmY3
325,T2
326,CB3114
327,TmY3
328,CB2961
329,T5a
330,CB2461
331,Dm10
332,KCapbp-ap1
333,Tm4
334,AN_GNG_69
335,AN_GNG_173
336,Li01
337,T5a
338,CB3261
339,Dm10
340,TmY3
341,Y3
342,DNpe037
343,T4a
344,lLN2X12
345,AN_AVLP_38
346,CB1452
347,PLP188
348,PVLP148
349,PLP158
350,CB2297
351,PVLP109
352,KCg-m
353,Tm4
354,lLN2X12
355,Y3
356,CB2342
357,Pm09
358,PVLP001
359,TmY15
360,T2
361,T5b
362,TmY11
363,CL089_b
364,PLP188
365,CL029a
366,Tm4
367,LHAV1a1
368,T4a
369,KCab
370,Tm8a
371,KCab
372,KCg-m
373,Tm9
374,Tm4
375,T2
376,CB3261
377,Tm4
378,Tm4
379,SLP114
380,Tm4
381,T3
382,Dm10
383,KCg-m
384,PLP158
385,BM_InOm
386,KCab
387,TmY11
388,T2
389,T4b
390,LC16
391,CB0835
392,LPi11
393,KCg-m
394,Y3
395,T5b
396,TmY10
397,CL086_b
398,T5d
399,SMP146
400,AVLP084
401,CL086_c
402,Li01
403,KCab
404,ORN_DA4l
405,KCapbp-ap2
406,SMP144
407,Mi4
408,T2
409,TmY11
410,CL086_c
411,CL062_b
412,PLP158
413,SMP144
414,T4a
415,LMt1
416,DNge118
417,T5c
418,LPi11
419,CB2342
420,LAL043a
421,SMP553
422,LT84
423,LMt1
424,T5a
425,Tm4
426,CB0172
427,C2
428,T5c
429,AN_GNG_69
430,WEDPN4
431,CB3114
432,AN_GNG_VES_12
433,CB2203
434,T5a
435,LC10e
436,CB1622
437,MeTu1
438,TmY3
439,TmY20
440,CB1057
441,T4b
442,Li06
443,TmY11
444,T5b
445,AN_AVLP_11
446,T5b
447,Tm4
448,PS142b
449,Dm2
450,TmY15
451,TmY15
452,CB2854
453,SAD047
454,Dm10
455,LAL043a
456,T4d
457,SLP114
458,Dm3q
459,Dm16
460,vDeltaA
461,KCg-m
462,Mi4
463,Sm01
464,L2
465,R1-6
466,CB1617
467,Tm9
468,Tm21
469,Dm11
470,R8
471,L1
472,Dm2
473,Mi4
474,L1
475,LPT26
476,Mi4
477,Tm3
478,CB3424
479,Mi4
480,Mi2
481,T1
482,Tm3
483,PAM06
484,Dm3q
485,Tm2
486,Dm16
487,Mi15
488,Sm02
489,T4c
490,Dm3v
491,Tm3
492,vDeltaA
493,L1
494,PLP139
495,TmY15
496,Tm2
497,Pm05
498,FS1A
499,Dm3v
500,L1
501,Tm27
502,T2
503,R1-6
504,Mi2
505,PLP188
506,LC22
507,R7
508,L5
509,CB2717
510,T4c
511,CB1766
512,Tm3
513,vDeltaA
514,Dm2
515,Tm8b
516,Tm2
517,Dm2
518,C2
519,R1-6
520,Mi9
521,Mi1
522,CL086_c
523,Tm32
524,C3
525,R8
526,T4b
527,L1
528,R8
529,Dm2
530,Tm21
531,MeTu1
532,Tm9
533,Dm3v
534,Pm04
535,Sm02
536,L4
537,L5
538,R8
539,R1-6
540,Mi9
541,CB2717
542,Tm5d
543,R1-6
544,R1-6
545,L1
546,L5
547,Mi1
548,R1-6
549,Dm3p
550,R7
551,CB1617
552,Sm12
553,Tm1
554,BM_InOm
555,Mi1
556,Tm4
557,KCg-m
558,Mi15
559,T5d
560,AN_multi_121
561,MTe01a
562,T3
563,lLN2X12
564,ORN_DA4l
565,Tm9
566,SLP114
567,Dm10
568,CB0065
569,CB1482
570,Li01
571,AN_AVLP_21
572,BM_InOm
573,4D3
574,CL086_b
575,Tm4
576,Y3
577,KCg-m
578,TmY15
579,LPLC1
580,Y1
581,CB1671
582,T5c
583,LPi11
584,KCg-m
585,KCab
586,Dm10
587,FR1
588,LPT29
589,BM_InOm
590,T4a
591,4D3
592,LC10a
593,SLP321
594,R1-6
595,DNge007
596,Mi10
597,IB058
598,CB1094
599,AN_multi_121
600,4D3
601,LC10e
602,KCg-m
603,LTe67
604,BM_InOm
605,Mi2
606,CB2961
607,CL348
608,T3
609,Mi15
610,T4b
611,PLP188
612,lLN2X12
613,TmY3
614,MLt8
615,KCapbp-ap2
616,BM_InOm
617,LPLC1
618,MLt8
619,T5c
620,KCab
621,T5d
622,ORN_DA4l
623,KCapbp-ap2
624,Li01
625,AN_GNG_69
626,KCab
627,Li01
628,PS083b
629,Li01
630,Dm10
631,CB1057
632,Li01
633,KCg-m
634,Tm4
635,CL086_c
636,BM_InOm
637,LC9
638,TmY5a
639,KCab
640,lLN2X12
641,LLPC2
642,LC29
643,CB2023
644,T5c
645,Li01
646,LPi11
647,Tlp14
648,TmY15
649,CB2593
650,OA-VUMx2
651,Tm4
652,CB0595
653,DNg10
654,CB1230
655,T2
656,LC12
657,CB1622
658,CL086_c
659,T5b
660,lLN2X12
661,TmY3
662,TmY3
663,LC11
664,Tm5d
665,KCab
666,Tm5a
667,PLP188
668,PVLP109
669,KCg-m
670,CB2127
671,CL278
672,LAL034
673,T5c
674,LC16
675,CB1057
676,KCg-m
677,LT53
678,KCg-m
679,BM_InOm
680,KCg-m
681,T2
682,Pm09
683,DNge019
684,LTe67
685,4D3
686,ocellar_retinula_cell
687,T4a
688,ORN_DA4l
689,T3
690,PS083b
691,LC29
692,s-CPDN3C
693,T5a
694,LAL034
695,CL086_c
696,SMP144
697,KCg-m
698,AN_SPS_GNG_1
699,Tm4
700,KCg-m
701,Y3
702,cM04
703,LHCENT9
704,KCg-m
705,KCg-m
706,CB1230
707,CB1617
708,CB2813
709,Tm8a
710,Mi14
711,T4a
712,AN_FLA_SMP_2
713,Dm3v
714,Tm4
715,TmY11
716,KCab
717,Li01
718,LC29
719,SMP144
720,AN_SMP_FLA_1
721,CB0867
722,KCg-m
723,LAL043a
724,T5c
725,T2
726,T4b
727,T5b
728,Tm4
729,LC10a
730,Mi9
731,T5a
732,KCab
733,KCg-m
734,CB3447
735,ocellar_retinula_cell
736,TmY10
737,4D3
738,TmY31
739,Tm4
740,LPi11
741,Dm10
742,TmY3
743,T1
744,KCab
745,LAL008
746,CB1720
747,ISN
748,Mi4
749,T4a
750,Tlp1
751,PS142b
752,TmY3
753,M_adPNm4b
754,SMP153b
755,T4b
756,CB2453
757,CB2812
758,KCapbp-ap2
759,cM04
760,LC12
761,C3
762,DNge094
763,T4c
764,CB1056
765,LMt1
766,TmY3
767,MTe01a
768,KCg-m
769,T2
770,PVLP109
771,Sm12
772,TmY10
773,AN_GNG_56
774,LC22
775,ORN_DA4l
776,CB2453
777,WEDPN11
778,T4d
779,T2
780,Pm09
781,Y3
782,CB0676
783,AN_SMP_FLA_1
784,T5c
785,LPi11
786,T5c
787,KCapbp-ap2
788,T3
789,Dm10
790,T2
791,KCg-m
792,T5b
793,CB0512
794,T5c
795,CB2812
796,CB2812
797,Li01
798,LTe49a
799,Tm4
800,C2
801,KCg-m
802,CB3424
803,Sm01
804,Tm3
805,R7
806,Tm2
807,ORN_DA4l
808,KCg-m
809,Tm5a
810,KCab
811,TmY20
812,AN_GNG_131
813,T5d
814,T5a
815,T5d
816,Tm4
817,KCab
818,CB3301
819,Tm5a
820,KCapbp-ap2
821,T3
822,CB2812
823,CB2238
824,4D3
825,BM_InOm
826,T3
827,SLP404
828,LT53
