root_id,hemisphere,type,column_id,x,y,p,q
95970,left,L1,490,-0.555555556,0.18644067796610164,8,-2
95971,left,L3,357,0.5,0.5593220338983051,4,13
95972,left,L3,343,-0.277777778,0.8983050847457628,16,11
95973,left,L1,223,-0.222222222,0.8644067796610169,15,11
95974,left,L2,313,0.8333333333333333,0.084745763,-6,9
95975,left,L1,353,0.22222222222222232,0.7966101694915255,10,14
95976,left,L2,80,0.5,0.423728814,2,11
95977,left,L3,263,-0.333333333,0.11864406779661008,5,-1
95978,left,L2,188,-0.5,0.5593220338983051,13,4
95979,left,L2,26,0.16666666666666674,-0.118644068,-3,0
95980,left,L3,289,-0.055555556,0.35593220338983045,6,5
95981,left,L2,159,0.8333333333333333,0.22033898305084754,-4,11
95982,left,L3,762,0,0.4576271186440677,7,7
95983,left,L1,327,0.6111111111111112,0.084745763,-4,7
95984,left,L2,122,-0.5,0.2881355932203389,9,0
95985,left,L3,94,0.5555555555555554,0.5932203389830508,4,14
95986,left,L2,284,0.055555556,0.8305084745762712,12,13
95987,left,L1,158,0.38888888888888906,-0.186440678,-6,1
95988,left,L3,639,-0.388888889,0.6271186440677967,13,6
95989,left,L3,624,0.16666666666666674,-0.593220339,-10,-7
95991,left,L3,318,0.5,-0.661016949,-14,-5
95993,left,L3,507,-0.555555556,-0.423728814,-1,-11
95995,left,L2,710,0.5,-0.86440678,-17,-8
95996,left,L2,158,0.38888888888888906,-0.186440678,-6,1
95997,left,L2,320,-0.166666667,-0.186440678,-1,-4
95998,left,L1,65,-0.111111111,0.9322033898305084,15,13
95999,left,L3,538,-0.388888889,0.016949152542372836,4,-3
96000,left,L1,227,-0.722222222,0.15254237288135597,9,-4
96001,left,L3,78,0.22222222222222232,0.6610169491525424,8,12
96002,left,L3,747,0,0.050847458,1,1
96003,left,L2,489,-0.333333333,0.3220338983050848,8,2
96004,left,L3,102,0.38888888888888906,0.423728814,3,10
96005,left,L2,211,-0.722222222,-0.050847458,6,-7
96006,left,L3,216,0.2777777777777777,0.6271186440677967,7,12
96007,left,L2,254,0.3333333333333335,-0.830508475,-15,-9
96008,left,L3,476,-0.055555556,0.4915254237288136,8,7
96009,left,L3,202,-0.055555556,0.8983050847457628,14,13
96011,left,L2,50,-0.166666667,0.6949152542372881,12,9
96012,left,L3,752,-0.166666667,0.22033898305084754,5,2
96013,left,L2,205,0.5555555555555554,-0.220338983,-8,2
96014,left,L2,596,-0.444444444,-0.559322034,-4,-12
96015,left,L1,509,-0.444444444,0.3220338983050848,9,1
96016,left,L2,330,0.38888888888888906,0.084745763,-2,5
96017,left,L3,700,0.6111111111111112,0.4915254237288136,2,13
96018,left,L3,620,0.8333333333333333,0.016949152542372836,-7,8
96019,left,L1,459,0.6111111111111112,-0.118644068,-7,4
96020,left,L1,73,0.22222222222222232,0.050847458,-1,3
96021,left,L1,552,0.5,-0.050847458,-5,4
96022,left,L3,247,-0.388888889,-0.525423729,-4,-11
96023,left,L1,596,-0.444444444,-0.559322034,-4,-12
96024,left,L1,184,-0.611111111,-0.186440678,3,-8
96025,left,L2,23,-0.333333333,-0.559322034,-5,-11
96026,left,L2,424,-0.333333333,-0.084745763,2,-4
96027,left,L1,100,0.22222222222222232,-0.355932203,-7,-3
96028,left,L1,381,0.5555555555555554,-0.898305085,-18,-8
96029,left,L1,38,0,-0.084745763,-1,-1
96030,left,L2,104,-0.055555556,-0.93220339,-13,-14
96031,left,L1,616,-0.277777778,0.4915254237288136,10,5
96032,left,L3,113,-0.222222222,0.11864406779661008,4,0
96033,left,L1,694,0.5,0.084745763,-3,6
96034,left,L3,279,-0.444444444,0.2542372881355932,8,0
96035,left,L2,755,0.5,0.6271186440677967,5,14
96036,left,L2,444,0.4444444444444444,-0.355932203,-9,-1
96037,left,L1,366,0.2777777777777777,-1,-17,-12
96038,left,L2,674,-0.444444444,-0.491525424,-3,-11
96039,left,L1,609,-0.222222222,-0.016949153,2,-2
96040,left,L3,134,-0.555555556,-0.627118644,-4,-14
96041,left,L2,764,0.8333333333333333,0.35593220338983045,-2,13
96042,left,L1,375,-0.611111111,0.22033898305084754,9,-2
96043,left,L2,6,-0.222222222,-0.152542373,0,-4
96044,left,L1,130,0.22222222222222232,0.38983050847457634,4,8
96045,left,L1,598,0.22222222222222232,-0.627118644,-11,-7
96046,left,L1,284,0.055555556,0.8305084745762712,12,13
96047,left,L2,321,0.8888888888888888,0.11864406779661008,-6,10
96049,left,L1,379,0.38888888888888906,-0.593220339,-12,-5
96051,left,L2,66,0.2777777777777777,0.4915254237288136,5,10
96053,left,L3,91,-0.111111111,0.18644067796610164,4,2
96054,left,L2,48,-0.444444444,-0.762711864,-7,-15
96055,left,L1,651,-0.388888889,-0.186440678,1,-6
96056,left,L2,585,-0.055555556,-0.796610169,-11,-12
96057,left,L2,38,0,-0.084745763,-1,-1
96058,left,L1,29,-0.055555556,-0.118644068,-1,-2
96059,left,L2,1,-0.611111111,0.423728814,12,1
96060,left,L3,660,0.22222222222222232,0.9322033898305084,12,16
96061,left,L2,116,-0.111111111,-0.288135593,-3,-5
96062,left,L1,178,0.2777777777777777,0.35593220338983045,3,8
96063,left,L1,512,0.666666667,-0.016949153,-6,6
96064,left,L1,590,0.16666666666666674,0.2881355932203389,3,6
96065,left,L1,731,-0.611111111,0.2881355932203389,10,-1
96066,left,L2,22,-0.055555556,0.084745763,2,1
96067,left,L3,15,0.2777777777777777,-0.118644068,-4,1
96068,left,L2,528,0.2777777777777777,0.22033898305084754,1,6
96069,left,L2,12,-0.722222222,0.2881355932203389,11,-2
96070,left,L3,273,-0.611111111,0.7627118644067796,17,6
96071,left,L3,353,0.22222222222222232,0.7966101694915255,10,14
96072,left,L3,651,-0.388888889,-0.186440678,1,-6
96073,left,L1,262,0.16666666666666674,-0.389830508,-7,-4
96074,left,L2,118,0.38888888888888906,0.016949152542372836,-3,4
96075,left,L1,138,0.055555556,0.8983050847457628,13,14
96076,left,L1,193,-0.555555556,0.11864406779661008,7,-3
96077,left,L2,484,0.38888888888888906,-0.322033898,-8,-1
96078,left,L3,746,-0.277777778,0.084745763,4,-1
96079,left,L1,45,-0.5,-0.050847458,4,-5
96080,left,L1,537,0.055555556,-0.796610169,-12,-11
96081,left,L2,348,0.3333333333333335,0.4576271186440677,4,10
96082,left,L3,495,0.5,0.15254237288135597,-2,7
96083,left,L1,649,-0.055555556,0.15254237288135597,3,2
96084,left,L3,68,0.3333333333333335,0.5254237288135593,5,11
96085,left,L2,266,-0.055555556,-0.86440678,-12,-13
96086,left,L2,431,-0.222222222,-0.355932203,-3,-7
96087,left,L3,680,-0.055555556,0.8305084745762712,13,12
96088,left,L1,286,0,-0.830508475,-12,-12
96089,left,L3,106,-0.722222222,0.35593220338983045,12,-1
96090,left,L2,81,0.666666667,-0.084745763,-7,5
96091,left,L2,109,0.5,-0.186440678,-7,2
96092,left,L2,742,-0.388888889,0.35593220338983045,9,2
96093,left,L2,178,0.2777777777777777,0.35593220338983045,3,8
96094,left,L2,380,-0.055555556,0.9661016949152543,15,14
96095,left,L1,633,-0.111111111,-0.830508475,-11,-13
96096,left,L1,709,-0.222222222,-0.830508475,-10,-14
96097,left,L3,603,-0.277777778,-0.796610169,-9,-14
96098,left,L2,36,0.666666667,0.2542372881355932,-2,10
96099,left,L1,566,0.5555555555555554,-0.288135593,-9,1
96101,left,L2,47,-0.944444444,-0.050847458,8,-9
96102,left,L3,691,0.7222222222222221,-0.728813559,-17,-4
96103,left,L1,571,0,-0.491525424,-7,-7
96104,left,L3,253,0.5555555555555554,0.5254237288135593,3,13
96105,left,L3,526,0,-0.355932203,-5,-5
96106,left,L2,373,0.16666666666666674,-0.728813559,-12,-9
96107,left,L2,723,-0.166666667,-0.389830508,-4,-7
96108,left,L1,147,0.16666666666666674,0.6949152542372881,9,12
96109,left,L2,298,-0.5,0.15254237288135597,7,-2
96110,left,L1,582,-0.055555556,0.7627118644067796,12,11
96111,left,L1,58,0.3333333333333335,0.38983050847457634,3,9
96112,left,L1,12,-0.722222222,0.2881355932203389,11,-2
96113,left,L1,122,-0.5,0.2881355932203389,9,0
96114,left,L1,311,-0.722222222,0.4915254237288136,14,1
96115,left,L1,267,-0.666666667,0.050847458,7,-5
96116,left,L3,459,0.6111111111111112,-0.118644068,-7,4
96117,left,L2,282,0,0.8644067796610169,13,13
96118,left,L2,93,-0.611111111,0.084745763,7,-4
96119,left,L2,238,-0.833333333,-0.118644068,6,-9
96120,left,L2,651,-0.388888889,-0.186440678,1,-6
96121,left,L3,363,0.7777777777777779,-0.152542373,-9,5
96122,left,L3,694,0.5,0.084745763,-3,6
96123,left,L2,107,0.8888888888888888,-0.084745763,-9,7
96124,left,L1,714,0.5555555555555554,0.38983050847457634,1,11
96125,left,L1,194,0.055555556,-0.186440678,-3,-2
96126,left,L2,267,-0.666666667,0.050847458,7,-5
96127,left,L3,501,0.11111111111111116,0.050847458,0,2
96128,left,L2,520,-0.222222222,-0.762711864,-9,-13
96129,left,L2,479,-0.222222222,0.3220338983050848,7,3
96130,left,L3,757,0,-0.220338983,-3,-3
96131,left,L3,545,0.6111111111111112,0.35593220338983045,0,11
96132,left,L3,215,0.7222222222222221,0.22033898305084754,-3,10
96133,left,L3,53,0.5555555555555554,0.4576271186440677,2,12
96134,left,L3,463,0.6111111111111112,0.5593220338983051,3,14
96135,left,L1,289,-0.055555556,0.35593220338983045,6,5
96136,left,L3,704,-0.777777778,0.2542372881355932,11,-3
96137,left,L2,527,-0.444444444,-0.288135593,0,-8
96138,left,L3,566,0.5555555555555554,-0.288135593,-9,1
96139,left,L3,743,0.7222222222222221,-0.661016949,-16,-3
96140,left,L1,664,0.16666666666666674,-0.93220339,-15,-12
96141,left,L3,485,-0.277777778,-0.118644068,1,-4
96142,left,L1,474,-0.277777778,-0.593220339,-6,-11
96143,left,L2,736,-0.833333333,0.016949152542372836,8,-7
96144,left,L2,623,0.16666666666666674,0.423728814,5,8
96145,left,L3,98,-0.111111111,-0.423728814,-5,-7
96146,left,L3,486,0.055555556,0.016949152542372836,0,1
96147,left,L2,374,0.2777777777777777,0.423728814,4,9
96148,left,L3,365,0.5,0.22033898305084754,-1,8
96149,left,L1,695,-0.666666667,0.3220338983050848,11,-1
96150,left,L2,342,0.2777777777777777,-0.525423729,-10,-5
96151,left,L1,455,0.8333333333333333,-0.254237288,-11,4
96152,left,L1,602,0.4444444444444444,-0.084745763,-5,3
96153,left,L3,693,-0.277777778,0.8305084745762712,15,10
96154,left,L1,35,0.11111111111111116,-0.830508475,-13,-11
96155,left,L1,548,0.11111111111111116,-0.559322034,-9,-7
96156,left,L1,542,0.7222222222222221,-0.457627119,-13,0
96157,left,L1,55,-0.388888889,-0.389830508,-2,-9
96158,left,L1,780,-0.166666667,-0.93220339,-12,-15
96159,left,L2,106,-0.722222222,0.35593220338983045,12,-1
96160,left,L2,573,0.4444444444444444,0.4576271186440677,3,11
96161,left,L2,465,0.3333333333333335,-0.016949153,-3,3
96162,left,L2,522,-0.444444444,-0.016949153,4,-4
96163,left,L3,126,0.38888888888888906,0.35593220338983045,2,9
96164,left,L2,512,0.666666667,-0.016949153,-6,6
96165,left,L1,60,-0.888888889,0.2542372881355932,12,-4
96166,left,L3,721,0.6111111111111112,0.423728814,1,12
96167,left,L2,409,0.055555556,-0.118644068,-2,-1
96168,left,L2,558,-0.388888889,-0.728813559,-7,-14
96169,left,L3,196,-0.111111111,0.2542372881355932,5,3
96170,left,L1,354,-0.222222222,-0.898305085,-11,-15
96171,left,L3,47,-0.944444444,-0.050847458,8,-9
96172,left,L1,624,0.16666666666666674,-0.593220339,-10,-7
96173,left,L2,521,0.7222222222222221,-0.322033898,-11,2
96174,left,L2,510,-0.166666667,0.35593220338983045,7,4
96175,left,L1,746,-0.277777778,0.084745763,4,-1
96176,left,L3,20,0.38888888888888906,-0.389830508,-9,-2
96177,left,L3,250,-0.055555556,0.016949152542372836,1,0
96178,left,L2,662,0.2777777777777777,-0.050847458,-3,2
96179,left,L1,450,0.2777777777777777,-0.322033898,-7,-2
96180,left,L3,88,0.7777777777777779,0.11864406779661008,-5,9
96181,left,L2,360,-0.5,0.6271186440677967,14,5
96182,left,L2,110,-0.777777778,-0.016949153,7,-7
96183,left,L2,775,0.5555555555555554,0.728813559,6,16
96184,left,L1,332,0.4444444444444444,-0.898305085,-17,-9
96185,left,L3,711,-0.055555556,0.6271186440677967,10,9
96186,left,L2,417,-0.666666667,-0.355932203,1,-11
96187,left,L3,310,0.22222222222222232,0.728813559,9,13
96188,left,L3,120,-0.055555556,-0.050847458,0,-1
96189,left,L3,66,0.2777777777777777,0.4915254237288136,5,10
96190,left,L1,1,-0.611111111,0.423728814,12,1
96191,left,L1,62,-0.166666667,-1,-13,-16
96192,left,L2,747,0,0.050847458,1,1
96193,left,L2,317,-0.555555556,-0.152542373,3,-7
96194,left,L2,515,-0.833333333,-0.254237288,4,-11
96195,left,L2,751,0.11111111111111116,0.18644067796610164,2,4
96196,left,L3,779,0.8888888888888888,0.18644067796610164,-5,11
96197,left,L3,654,-0.333333333,0.2542372881355932,7,1
96198,left,L2,442,-0.5,0.8305084745762712,17,8
96200,left,L3,39,0,0.6610169491525424,10,10
96201,left,L2,394,-0.777777778,-0.288135593,3,-11
96202,left,L2,372,0.11111111111111116,-0.084745763,-2,0
96203,left,L1,416,0.3333333333333335,-0.288135593,-7,-1
96204,left,L1,233,0.5,-0.457627119,-11,-2
96205,left,L1,640,-0.111111111,-0.559322034,-7,-9
96206,left,L1,697,0.11111111111111116,-0.762711864,-12,-10
96207,left,L1,681,-0.166666667,-0.728813559,-9,-12
96208,left,L2,499,0.5555555555555554,0.3220338983050848,0,10
96209,left,L3,261,-0.055555556,0.423728814,7,6
96210,left,L1,604,-0.055555556,-1,-14,-15
96211,left,L1,192,0.7777777777777779,0.3220338983050848,-2,12
96212,left,L1,621,0.11111111111111116,0.7966101694915255,11,13
96213,left,L2,724,0.4444444444444444,0.050847458,-3,5
96214,left,L1,8,-0.444444444,0.8644067796610169,17,9
96215,left,L2,712,-0.777777778,0.38983050847457634,13,-1
96216,left,L2,707,-0.166666667,0.8305084745762712,14,11
96217,left,L2,112,-0.611111111,0.016949152542372836,6,-5
96218,left,L3,276,0.2777777777777777,0.084745763,-1,4
96219,left,L3,636,0,0.18644067796610164,3,3
96220,left,L2,34,0.666666667,0.5932203389830508,3,15
96221,left,L1,420,0.7222222222222221,-0.118644068,-8,5
96222,left,L2,718,-0.555555556,0.7966101694915255,17,7
96223,left,L3,145,0,0.11864406779661008,2,2
96224,left,L1,6,-0.222222222,-0.152542373,0,-4
96225,left,L1,408,-0.666666667,-0.152542373,4,-8
96226,left,L1,781,0.8888888888888888,0.050847458,-7,9
