root_id,hemisphere,type,column_id,x,y,p,q
39112,right,L1,188,0.5,0.5593220338983051,13,4
39113,right,L1,135,0.3333333333333335,-0.762711864,-8,-14
39114,right,L3,580,0.16666666666666674,-0.796610169,-10,-13
39115,right,L2,591,-0.388888889,-0.118644068,-5,2
39116,right,L1,231,-0.444444444,-0.423728814,-10,-2
39117,right,L2,678,-0.388888889,-0.254237288,-7,0
39118,right,L1,728,-0.777777778,0.38983050847457634,-1,13
39119,right,L2,128,-0.333333333,-0.762711864,-14,-8
39120,right,L2,173,-0.277777778,-0.86440678,-15,-10
39121,right,L3,197,0,-0.694915254,-10,-10
39122,right,L3,194,-0.055555556,-0.186440678,-3,-2
39123,right,L1,646,-0.722222222,0.5593220338983051,2,15
39124,right,L3,614,0.22222222222222232,-0.288135593,-2,-6
39125,right,L2,34,-0.666666667,0.5932203389830508,3,15
39126,right,L2,209,0.3333333333333335,-0.288135593,-1,-7
39127,right,L1,654,0.3333333333333335,0.2542372881355932,7,1
39128,right,L2,673,-0.277777778,0.15254237288135597,0,5
39129,right,L1,779,-0.555555556,0.7966101694915255,7,17
39130,right,L3,779,-0.555555556,0.7966101694915255,7,17
39131,right,L1,64,-0.5,-0.796610169,-16,-7
39132,right,L2,555,0.38888888888888906,0.2881355932203389,8,1
39133,right,L2,65,0.11111111111111116,0.9322033898305084,15,13
39134,right,L3,382,-0.333333333,-0.220338983,-6,0
39135,right,L1,115,0.4444444444444444,0.050847458,5,-3
39136,right,L1,440,-0.166666667,0.7627118644067796,10,13
39137,right,L2,254,-0.333333333,-0.830508475,-15,-9
39138,right,L3,290,-0.555555556,-0.830508475,-17,-7
39139,right,L2,43,0.5555555555555554,0.5932203389830508,14,4
39140,right,L1,376,0.7777777777777779,-0.355932203,2,-12
39141,right,L3,214,0.5,0.084745763,6,-3
39142,right,L3,703,0.2777777777777777,0.016949152542372836,3,-2
39143,right,L1,121,0.8888888888888888,0.11864406779661008,10,-6
39144,right,L2,153,-0.888888889,-0.016949153,-8,8
39145,right,L2,491,-0.833333333,-0.050847458,-8,7
39146,right,L2,329,0,0.7966101694915255,12,12
39147,right,L2,333,-0.055555556,-0.728813559,-11,-10
39148,right,L2,581,-0.388888889,0.2881355932203389,1,8
39149,right,L2,141,-0.611111111,-0.796610169,-17,-6
39150,right,L1,460,0.3333333333333335,-0.694915254,-7,-13
39151,right,L2,357,-0.5,0.5593220338983051,4,13
39152,right,L3,304,-0.722222222,0.15254237288135597,-4,9
39153,right,L2,400,-0.166666667,-1,-16,-13
39155,right,L2,376,0.7777777777777779,-0.355932203,2,-12
39156,right,L3,455,-0.833333333,-0.254237288,-11,4
39157,right,L3,87,-0.166666667,0.35593220338983045,4,7
39158,right,L1,145,0,0.11864406779661008,2,2
39159,right,L1,416,-0.333333333,-0.288135593,-7,-1
39160,right,L2,12,0.7222222222222221,0.2881355932203389,11,-2
39161,right,L1,619,0.38888888888888906,-0.661016949,-6,-13
39162,right,L1,177,0.16666666666666674,-0.050847458,1,-2
39163,right,L3,538,0.38888888888888906,0.016949152542372836,4,-3
39164,right,L1,53,-0.555555556,0.4576271186440677,2,12
39165,right,L2,383,0.6111111111111112,0.35593220338983045,11,0
39166,right,L1,370,0.2777777777777777,0.6949152542372881,13,8
39167,right,L3,654,0.3333333333333335,0.2542372881355932,7,1
39168,right,L2,97,0.5555555555555554,0.050847458,6,-4
39169,right,L2,728,-0.777777778,0.38983050847457634,-1,13
39170,right,L3,305,0.7777777777777779,0.11864406779661008,9,-5
39171,right,L3,218,-0.222222222,0.3220338983050848,3,7
39172,right,L1,46,0.5,0.4915254237288136,12,3
39173,right,L2,434,0.2777777777777777,0.22033898305084754,6,1
39174,right,L3,695,0.666666667,0.3220338983050848,11,-1
39175,right,L2,40,0.22222222222222232,-0.220338983,-1,-5
39176,right,L2,377,-0.055555556,0.22033898305084754,3,4
39177,right,L2,453,-0.388888889,0.8305084745762712,9,16
39178,right,L1,356,0,0.728813559,11,11
39179,right,L1,638,0.055555556,0.22033898305084754,4,3
39180,right,L2,663,0,0.2542372881355932,4,4
39181,right,L1,739,0.7777777777777779,0.050847458,8,-6
39182,right,L1,60,0.8888888888888888,0.2542372881355932,12,-4
39183,right,L2,679,-0.444444444,0.5932203389830508,5,13
39184,right,L2,666,-0.833333333,-0.457627119,-14,1
39185,right,L3,410,0.22222222222222232,-0.084745763,1,-3
39186,right,L3,403,0.22222222222222232,-0.423728814,-4,-8
39187,right,L1,690,0.7222222222222221,-0.118644068,5,-8
39188,right,L3,771,-0.388888889,-0.93220339,-17,-10
39189,right,L2,545,-0.611111111,0.35593220338983045,0,11
39190,right,L1,4,0.5,-0.728813559,-6,-15
39191,right,L3,325,-0.611111111,0.016949152542372836,-5,6
39192,right,L3,463,-0.611111111,0.5593220338983051,3,14
39193,right,L1,319,0.16666666666666674,0.15254237288135597,4,1
39194,right,L1,477,0.3333333333333335,0.050847458,4,-2
39195,right,L1,251,0.11111111111111116,-0.491525424,-6,-8
39196,right,L2,469,0.7222222222222221,0.423728814,13,0
39197,right,L2,94,-0.555555556,0.5932203389830508,4,14
39198,right,L2,702,0.5,0.7627118644067796,16,7
39199,right,L3,430,0.2777777777777777,-0.254237288,-1,-6
39200,right,L1,292,0.4444444444444444,0.5932203389830508,13,5
39201,right,L2,726,-0.222222222,-0.966101695,-16,-12
39202,right,L2,525,0.11111111111111116,-0.694915254,-9,-11
39203,right,L1,140,-0.333333333,0.2542372881355932,1,7
39204,right,L2,231,-0.444444444,-0.423728814,-10,-2
39205,right,L3,118,-0.388888889,0.016949152542372836,-3,4
39206,right,L1,301,0.5555555555555554,0.5254237288135593,13,3
39207,right,L1,34,-0.666666667,0.5932203389830508,3,15
39208,right,L1,132,-0.222222222,0.11864406779661008,0,4
39209,right,L1,116,0.11111111111111116,-0.288135593,-3,-5
39210,right,L3,764,0.8888888888888888,-0.220338983,5,-11
39211,right,L3,333,-0.055555556,-0.728813559,-11,-10
39212,right,L3,272,-0.333333333,-0.084745763,-4,2
39213,right,L1,363,-0.777777778,-0.152542373,-9,5
39214,right,L2,560,0.7777777777777779,0.4576271186440677,14,0
39215,right,L3,711,0.055555556,0.6271186440677967,10,9
39216,right,L3,303,0.5555555555555554,0.728813559,16,6
39217,right,L3,619,0.38888888888888906,-0.661016949,-6,-13
39218,right,L2,579,0.3333333333333335,-0.355932203,-2,-8
39219,right,L3,606,0.055555556,-0.661016949,-9,-10
39220,right,L3,257,-0.277777778,0.6949152542372881,8,13
39221,right,L2,467,0.22222222222222232,-0.694915254,-8,-12
39222,right,L2,561,-0.611111111,0.22033898305084754,-2,9
39223,right,L2,534,-0.333333333,0.050847458,-2,4
39224,right,L2,248,0.666666667,-0.016949153,6,-6
39225,right,L3,297,-0.833333333,-0.322033898,-12,3
39226,right,L1,671,0.38888888888888906,-0.796610169,-8,-15
39227,right,L1,349,0.5555555555555554,-0.491525424,-2,-12
39228,right,L3,433,0,-0.288135593,-4,-4
39229,right,L2,458,-0.555555556,-0.016949153,-5,5
39230,right,L1,681,0.16666666666666674,-0.728813559,-9,-12
39231,right,L1,713,0.666666667,0.5254237288135593,14,2
39232,right,L3,45,0.5,-0.050847458,4,-5
39233,right,L1,26,-0.166666667,-0.118644068,-3,0
39234,right,L3,238,0.8333333333333333,-0.118644068,6,-9
39235,right,L2,117,0.8888888888888888,-0.084745763,7,-9
39236,right,L1,147,-0.166666667,0.6949152542372881,9,12
39237,right,L3,656,-0.055555556,-0.389830508,-6,-5
39238,right,L1,206,0.2777777777777777,0.15254237288135597,5,0
39239,right,L2,771,-0.388888889,-0.93220339,-17,-10
39240,right,L3,140,-0.333333333,0.2542372881355932,1,7
39241,right,L1,625,0.22222222222222232,0.7966101694915255,14,10
39242,right,L3,278,0.5555555555555554,0.3220338983050848,10,0
39243,right,L3,412,0.6111111111111112,0.6949152542372881,16,5
39244,right,L1,682,-0.666666667,-0.288135593,-10,2
39245,right,L1,611,0.11111111111111116,-0.627118644,-8,-10
39246,right,L1,242,0.4444444444444444,0.18644067796610164,7,-1
39247,right,L2,18,-0.555555556,-0.559322034,-13,-3
39248,right,L1,434,0.2777777777777777,0.22033898305084754,6,1
