dagger_iter,mean_loss,batches,buffer_size,straight_chunks,turn_chunks,collision_chunks,pre_collision_chunks,start_chunks
1,0.825821328163147,5,40,1,23,5,1,10
1,1.4068729281425476,5,302,160,117,12,3,10
1,1.094613293806712,3,195,159,31,0,0,5
1,0.9520430564880371,1,197,126,63,3,0,5
1,1.5534536838531494,1,167,89,73,0,0,5
1,1.1040903329849243,1,196,134,51,5,1,5
1,0.5690581798553467,1,195,175,15,0,0,5
1,1.3430637300014496,10,870,448,301,85,16,20
2,1.3833427906036377,10,2427,1385,799,170,33,40
1,1.2340985655784606,10,1045,579,357,75,14,20
2,1.4156351208686828,10,2133,1269,565,218,41,40
